Time (s);Force-X (N);Force-Y (N);
3.67E-05;6.19E-21;1.46E-19;
3.78E-05;1.09E-19;2.54E-18;
3.88E-05;1.21E-18;2.80E-17;
3.98E-05;1.06E-17;2.43E-16;
4.08E-05;7.72E-17;1.73E-15;
4.19E-05;4.81E-16;1.05E-14;
4.29E-05;2.54E-15;5.51E-14;
4.39E-05;1.16E-14;2.50E-13;
4.49E-05;4.68E-14;1.01E-12;
4.59E-05;1.87E-13;4.03E-12;
4.70E-05;6.38E-13;1.39E-11;
4.80E-05;2.04E-12;4.37E-11;
4.90E-05;6.07E-12;1.28E-10;
5.00E-05;1.70E-11;3.53E-10;
5.10E-05;4.45E-11;9.22E-10;
5.20E-05;1.11E-10;2.29E-09;
5.31E-05;3.60E-10;6.94E-09;
5.41E-05;6.03E-10;1.25E-08;
5.51E-05;1.39E-09;3.07E-08;
5.61E-05;2.69E-09;6.33E-08;
5.71E-05;6.22E-09;1.32E-07;
5.81E-05;1.21E-08;2.61E-07;
5.91E-05;2.41E-08;5.15E-07;
6.02E-05;4.54E-08;9.65E-07;
6.12E-05;8.40E-08;1.80E-06;
6.22E-05;1.53E-07;3.26E-06;
6.32E-05;2.71E-07;5.80E-06;
6.42E-05;4.72E-07;1.01E-05;
6.52E-05;8.07E-07;1.74E-05;
6.62E-05;1.36E-06;2.94E-05;
6.73E-05;2.25E-06;4.88E-05;
6.83E-05;3.65E-06;7.96E-05;
6.93E-05;5.82E-06;0.00012781;
7.03E-05;9.15E-06;0.00020218;
7.13E-05;1.42E-05;0.00031539;
7.23E-05;2.16E-05;0.00048555;
7.33E-05;3.25E-05;0.00073667;
7.43E-05;4.84E-05;0.0011065;
7.53E-05;7.14E-05;0.0016513;
7.63E-05;0.00010408;0.0024348;
7.74E-05;0.0001497;0.003546;
7.84E-05;0.00021249;0.0051009;
7.94E-05;0.00029786;0.0072522;
8.04E-05;0.00041246;0.010195;
8.14E-05;0.00056521;0.014196;
8.24E-05;0.00076621;0.019574;
8.33E-05;0.0010274;0.026719;
8.43E-05;0.0013741;0.036443;
8.54E-05;0.0018209;0.049314;
8.64E-05;0.0023898;0.066175;
8.74E-05;0.0031054;0.088049;
8.84E-05;0.0039956;0.1162;
8.95E-05;0.005093;0.1521;
9.05E-05;0.0064255;0.1975;
9.15E-05;0.0080246;0.2543;
9.25E-05;0.0099303;0.3252;
9.35E-05;0.012163;0.4127;
9.46E-05;0.014739;0.5195;
9.56E-05;0.017655;0.6483;
9.66E-05;0.020914;0.8028;
9.76E-05;0.024477;0.9861;
9.86E-05;0.028306;1.202;
9.96E-05;0.032331;1.456;
0.00010056;0.036427;1.751;
0.000101569;0.040503;2.098;
0.000102588;0.044295;2.502;
0.000103605;0.047445;2.963;
0.000104618;0.049553;3.482;
0.000105627;0.050141;4.065;
0.000106633;0.048621;4.712;
0.000107636;0.044289;5.424;
0.000108635;0.036324;6.202;
0.000109628;0.023812;7.042;
0.000110633;0.0052881;7.957;
0.000111655;-0.021035;8.95;
0.000112673;-0.05645;9.996;
0.000113686;-0.1027;11.08;
0.000114695;-0.1618;12.2;
0.0001157;-0.2358;13.34;
0.000116699;-0.3272;14.48;
0.000117695;-0.4385;15.61;
0.000118686;-0.5725;16.7;
0.000119685;-0.734;17.76;
0.000120708;-0.9309;18.76;
0.000121726;-1.162;19.66;
0.000122741;-1.432;20.42;
0.00012375;-1.744;21.04;
0.000124755;-2.102;21.49;
0.000125756;-2.511;21.74;
0.00012675;-2.973;21.78;
0.000127739;-3.493;21.61;
0.00012869;-4.072;21.22;
0.000129615;-4.682;20.63;
0.00013051;-5.335;19.87;
0.000131378;-6.031;18.96;
0.000132246;-6.792;17.87;
0.00013311;-7.619;16.63;
0.000133946;-8.487;15.3;
0.000134761;-9.401;13.88;
0.000135574;-10.38;12.39;
0.000136551;-11.65;10.51;
0.000137555;-13.08;8.52;
0.000138546;-14.6;6.563;
0.000139533;-16.23;4.675;
0.000140504;-17.96;2.934;
0.000141454;-19.76;1.4;
0.000142389;-21.66;0.1118;
0.000143313;-23.65;-0.8962;
0.000144221;-25.71;-1.579;
0.000145192;-28.05;-1.925;
0.000146194;-30.6;-1.82;
0.000147185;-33.26;-1.212;
0.000148171;-36.03;-0.080906;
0.000149142;-38.9;1.565;
0.000150098;-41.84;3.706;
0.000151045;-44.88;6.33;
0.000151979;-47.98;9.395;
0.000152899;-51.14;12.84;
0.000153857;-54.54;16.85;
0.000154869;-58.24;21.47;
0.00015587;-62.01;26.37;
0.00015686;-65.82;31.43;
0.000157841;-69.69;36.57;
0.000158816;-73.6;41.69;
0.000159784;-77.55;46.69;
0.000160743;-81.51;51.44;
0.000161695;-85.47;55.86;
0.000162655;-89.5;59.89;
0.000163665;-93.75;63.58;
0.000164666;-97.95;66.55;
0.000165657;-102.1;68.73;
0.000166635;-106.2;70.07;
0.000167603;-110.1;70.52;
0.000168558;-114;70.07;
0.0001695;-117.7;68.75;
0.000170434;-121.3;66.56;
0.000171378;-124.9;63.4;
0.000172263;-128;59.73;
0.000173137;-131;55.44;
0.000173992;-133.8;50.63;
0.000174802;-136.3;45.58;
0.000175573;-138.5;40.39;
0.00017634;-140.6;34.93;
0.000177101;-142.6;29.28;
0.000177852;-144.3;23.53;
0.00017866;-146;17.24;
0.000179472;-147.4;10.89;
0.000180277;-148.7;4.666;
0.000181075;-149.7;-1.353;
0.000181864;-150.5;-7.055;
0.000182641;-151;-12.37;
0.000183411;-151.3;-17.26;
0.000184177;-151.4;-21.69;
0.000184939;-151.2;-25.6;
0.000185765;-150.8;-29.21;
0.000186623;-150;-32.22;
0.000187471;-148.9;-34.42;
0.000188305;-147.5;-35.79;
0.000189132;-145.8;-36.36;
0.000189954;-143.8;-36.15;
0.00019077;-141.5;-35.19;
0.000191575;-139;-33.55;
0.000192375;-136.2;-31.26;
0.000193208;-133;-28.25;
0.000194073;-129.4;-24.51;
0.000194926;-125.5;-20.28;
0.000195759;-121.5;-15.73;
0.000196578;-117.2;-10.93;
0.000197382;-112.9;-6.021;
0.000198177;-108.3;-1.041;
0.000198968;-103.6;3.934;
0.000199756;-98.72;8.832;
0.000200573;-93.49;13.75;
0.000201481;-87.49;18.93;
0.000202379;-81.38;23.63;
0.000203263;-75.23;27.77;
0.000204131;-69.08;31.27;
0.000204992;-62.88;34.13;
0.000205848;-56.66;36.31;
0.000206692;-50.48;37.8;
0.00020752;-44.41;38.59;
0.00020829;-38.62;38.75;
0.000209039;-33.15;38.36;
0.000209791;-27.69;37.47;
0.000210542;-22.27;36.11;
0.000211293;-16.92;34.31;
0.000212045;-11.63;32.12;
0.000212796;-6.427;29.59;
0.000213548;-1.319;26.79;
0.000214299;3.686;23.77;
0.000215217;9.642;19.9;
0.00021616;15.58;15.83;
0.000217089;21.23;11.87;
0.000218009;26.62;8.134;
0.000218924;31.77;4.728;
0.000219821;36.62;1.794;
0.000220701;41.2;-0.6075;
0.000221561;45.49;-2.421;
0.000222413;49.58;-3.642;
0.000223255;53.47;-4.245;
0.000224088;57.19;-4.224;
0.00022491;60.74;-3.589;
0.000225712;64.1;-2.387;
0.000226508;67.36;-0.6366;
0.000227296;70.52;1.611;
0.000228068;73.57;4.28;
0.000228806;76.46;7.219;
0.00022953;79.29;10.43;
0.00023025;82.11;13.91;
0.000230965;84.93;17.58;
0.000231669;87.75;21.36;
0.000232361;90.56;25.18;
0.000233042;93.4;28.99;
0.000233723;96.31;32.81;
0.000234395;99.27;36.53;
0.00023506;102.3;40.12;
0.000235719;105.4;43.54;
0.000236374;108.6;46.76;
0.000236999;111.8;49.64;
0.00023763;115.1;52.32;
0.000238327;119;55.01;
0.000239245;124.4;57.97;
0.00024015;129.9;60.22;
0.000241035;135.7;61.74;
0.000241911;141.7;62.55;
0.000242767;147.9;62.67;
0.000243616;154.4;62.14;
0.000244457;161.1;60.98;
0.000245289;168;59.25;
0.000246153;175.5;56.89;
0.000247014;183.2;54.03;
0.000247865;191.1;50.75;
0.000248713;199.2;47.11;
0.00024955;207.4;43.23;
0.000250367;215.6;39.22;
0.000251181;223.8;35.11;
0.000251988;232.2;30.98;
0.000252782;240.4;26.94;
0.000253647;249.5;22.63;
0.00025455;259;18.35;
0.00025544;268.3;14.42;
0.000256324;277.5;10.89;
0.000257198;286.4;7.81;
0.000258054;295;5.261;
0.000258876;303.1;3.283;
0.000259686;310.9;1.816;
0.000260489;318.4;0.8516;
0.000261339;326;0.3733;
0.00026224;333.7;0.4794;
0.000263128;340.8;1.192;
0.000264004;347.4;2.47;
0.000264865;353.5;4.258;
0.000265714;359;6.502;
0.000266549;364;9.138;
0.000267369;368.4;12.09;
0.000268174;372.3;15.3;
0.000268988;375.7;18.79;
0.000269841;378.8;22.68;
0.000270674;381.4;26.64;
0.0002715;383.4;30.67;
0.000272317;384.9;34.69;
0.000273124;385.9;38.65;
0.000273916;386.5;42.47;
0.00027469;386.7;46.1;
0.000275455;386.5;49.53;
0.000276211;385.9;52.76;
0.000277003;385;55.92;
0.000277783;383.8;58.79;
0.000278555;382.2;61.36;
0.000279323;380.4;63.64;
0.000280074;378.4;65.58;
0.000280819;376.1;67.21;
0.000281547;373.8;68.52;
0.000282268;371.2;69.53;
0.000282978;368.6;70.25;
0.0002837;365.7;70.71;
0.000284409;362.8;70.89;
0.000285096;359.9;70.83;
0.000285765;357;70.55;
0.000286413;354.2;70.09;
0.000287053;351.3;69.45;
0.000287679;348.5;68.67;
0.00028828;345.8;67.79;
0.000288983;342.6;66.59;
0.000289758;339.2;65.11;
0.00029048;336;63.61;
0.000291157;333;62.1;
0.000291793;330.3;60.62;
0.000292421;327.7;59.1;
0.000293043;325.2;57.58;
0.000293654;322.8;56.07;
0.000294253;320.6;54.59;
0.000294918;318.2;52.96;
0.000295591;315.9;51.35;
0.00029624;313.8;49.85;
0.000296867;311.8;48.45;
0.000297466;310.1;47.19;
0.000298045;308.6;46.04;
0.000298402;307.6;45.35;
0.000298982;306.2;44.32;
0.000299597;304.9;43.33;
0.000300198;303.7;42.47;
0.000300794;302.7;41.72;
0.000301388;301.8;41.08;
0.00030198;301;40.56;
0.000302567;300.3;40.16;
0.000303151;299.7;39.87;
0.000303818;299.2;39.68;
0.000304478;298.9;39.63;
0.000305124;298.7;39.73;
0.000305774;298.6;39.95;
0.000306422;298.6;40.31;
0.000307054;298.8;40.78;
0.000307684;299;41.35;
0.000308313;299.4;42.03;
0.000308943;299.8;42.81;
0.000309599;300.4;43.71;
0.00031027;301.1;44.73;
0.000310933;301.8;45.81;
0.000311582;302.6;46.93;
0.000312212;303.4;48.07;
0.000312825;304.2;49.21;
0.000313425;305;50.36;
0.000314005;305.9;51.49;
0.000314575;306.7;52.61;
0.000315183;307.7;53.8;
0.000315831;308.7;55.06;
0.000316474;309.6;56.3;
0.000317112;310.6;57.5;
0.000317744;311.5;58.65;
0.000318363;312.4;59.74;
0.000318978;313.3;60.77;
0.000319568;314.1;61.72;
0.00032013;314.9;62.57;
0.000320669;315.6;63.34;
0.000321179;316.2;64.02;
0.000321681;316.7;64.65;
0.000322183;317.3;65.24;
0.000322671;317.8;65.77;
0.000323145;318.2;66.24;
0.000323611;318.7;66.67;
0.000324074;319;67.05;
0.000324399;319.3;67.31;
0.000324596;319.4;67.45;
0.000324782;319.6;67.58;
0.000324955;319.7;67.69;
0.000325133;319.8;67.8;
0.000325316;319.9;67.91;
0.000325496;320;68.01;
0.000325684;320.1;68.11;
0.000325899;320.2;68.22;
0.000326193;320.4;68.36;
0.000326482;320.5;68.48;
0.000326777;320.6;68.6;
0.000327072;320.7;68.7;
0.000327374;320.8;68.79;
0.000327656;320.9;68.87;
0.000327929;321;68.94;
0.000328211;321;69;
0.000328496;321.1;69.06;
0.000328784;321.1;69.11;
0.000329069;321.2;69.15;
0.000329354;321.2;69.19;
0.000329616;321.2;69.21;
0.000329871;321.2;69.24;
0.000330132;321.2;69.26;
0.000330404;321.1;69.28;
0.000330675;321.1;69.3;
0.000330941;321.1;69.32;
0.000331208;321;69.34;
0.000331475;320.9;69.35;
0.000331741;320.9;69.37;
0.000332008;320.8;69.39;
0.000332278;320.7;69.41;
0.000332542;320.6;69.44;
0.000332779;320.6;69.47;
0.000333017;320.5;69.49;
0.000333257;320.4;69.53;
0.000333508;320.3;69.57;
0.00033376;320.1;69.61;
0.000334008;320;69.66;
0.000334254;319.9;69.72;
0.000334501;319.8;69.78;
0.000334748;319.6;69.85;
0.000334993;319.5;69.92;
0.000335237;319.4;70.01;
0.000335481;319.2;70.1;
0.000335725;319.1;70.2;
0.000335969;318.9;70.31;
0.000336216;318.7;70.43;
0.000336461;318.6;70.56;
0.000336706;318.4;70.69;
0.000336948;318.2;70.84;
0.00033719;318.1;71;
0.000337431;317.9;71.17;
0.000337673;317.7;71.35;
0.000337911;317.5;71.54;
0.000338133;317.3;71.73;
0.000338355;317.2;71.92;
0.000338579;317;72.13;
0.00033881;316.8;72.35;
0.000339041;316.6;72.59;
0.000339272;316.4;72.84;
0.000339504;316.2;73.1;
0.000339735;316;73.37;
0.000339967;315.8;73.65;
0.000340198;315.6;73.94;
0.00034043;315.4;74.25;
0.000340661;315.2;74.57;
0.000340891;314.9;74.9;
0.000341121;314.7;75.24;
0.000341352;314.5;75.59;
0.000341583;314.3;75.95;
0.000341814;314.1;76.33;
0.000342045;313.8;76.72;
0.000342276;313.6;77.12;
0.000342508;313.4;77.53;
0.000342739;313.1;77.96;
0.00034297;312.9;78.39;
0.0003432;312.7;78.84;
0.00034343;312.4;79.29;
0.00034366;312.2;79.76;
0.00034389;311.9;80.23;
0.00034412;311.7;80.72;
0.00034435;311.5;81.22;
0.000344581;311.2;81.73;
0.00034481;311;82.24;
0.000345019;310.7;82.72;
0.000345225;310.5;83.2;
0.00034543;310.3;83.68;
0.000345638;310.1;84.18;
0.000345847;309.8;84.68;
0.000346057;309.6;85.2;
0.000346267;309.4;85.72;
0.000346477;309.1;86.25;
0.000346687;308.9;86.79;
0.000346897;308.7;87.32;
0.000347106;308.5;87.87;
0.000347316;308.2;88.42;
0.000347527;308;88.97;
0.000347737;307.8;89.53;
0.000347947;307.5;90.1;
0.000348157;307.3;90.67;
0.000348367;307.1;91.24;
0.000348577;306.8;91.81;
0.000348788;306.6;92.39;
0.000348997;306.4;92.96;
0.000349206;306.1;93.54;
0.000349416;305.9;94.12;
0.000349626;305.7;94.7;
0.000349836;305.4;95.28;
0.000350045;305.2;95.87;
0.000350255;305;96.45;
0.000350464;304.7;97.02;
0.000350674;304.5;97.6;
0.000350884;304.3;98.18;
0.000351093;304.1;98.75;
0.000351303;303.8;99.32;
0.000351513;303.6;99.89;
0.000351722;303.4;100.5;
0.000351932;303.2;101;
0.000352141;302.9;101.6;
0.000352351;302.7;102.1;
0.000352559;302.5;102.6;
0.000352741;302.3;103.1;
0.000352919;302.1;103.6;
0.000353097;301.9;104;
0.000353273;301.8;104.4;
0.00035345;301.6;104.9;
0.000353626;301.4;105.3;
0.000353803;301.2;105.7;
0.000353982;301;106.1;
0.000354161;300.9;106.5;
0.00035434;300.7;106.9;
0.000354518;300.5;107.3;
0.000354696;300.3;107.7;
0.000354875;300.2;108.1;
0.000355054;300;108.4;
0.000355232;299.8;108.8;
0.000355411;299.7;109.2;
0.000355589;299.5;109.5;
0.000355767;299.3;109.8;
0.000355946;299.2;110.1;
0.000356125;299;110.4;
0.000356304;298.8;110.7;
0.000356483;298.7;111;
0.000356662;298.5;111.3;
0.000356841;298.4;111.6;
0.000357021;298.2;111.8;
0.000357201;298;112;
0.00035738;297.9;112.3;
0.000357559;297.7;112.5;
0.000357738;297.6;112.7;
0.000357917;297.4;112.9;
0.000358096;297.3;113;
0.000358275;297.2;113.2;
0.000358453;297;113.3;
0.000358632;296.9;113.4;
0.000358811;296.7;113.6;
0.000358991;296.6;113.7;
0.00035917;296.5;113.7;
0.00035935;296.3;113.8;
0.000359529;296.2;113.9;
0.000359709;296.1;113.9;
0.000359888;295.9;113.9;
0.000360068;295.8;113.9;
0.000360247;295.7;113.9;
0.000360426;295.6;113.9;
0.000360606;295.4;113.8;
0.000360785;295.3;113.7;
0.000360965;295.2;113.7;
0.000361145;295.1;113.6;
0.000361325;295;113.4;
0.000361505;294.9;113.3;
0.000361685;294.7;113.1;
0.000361864;294.6;113;
0.000362044;294.5;112.8;
0.000362224;294.4;112.6;
0.000362403;294.3;112.3;
0.000362583;294.2;112.1;
0.000362766;294.1;111.8;
0.000363234;293.9;111.1;
0.00036398;293.5;109.6;
0.000364711;293.2;107.8;
0.00036543;292.9;105.8;
0.000366138;292.7;103.5;
0.000366824;292.5;101;
0.000367506;292.3;98.3;
0.00036818;292.1;95.42;
0.000368846;292;92.37;
0.000369651;291.9;88.46;
0.00037047;291.8;84.26;
0.000371286;291.7;79.88;
0.000372088;291.7;75.44;
0.000372872;291.7;71.01;
0.000373641;291.7;66.63;
0.000374398;291.7;62.34;
0.000375144;291.7;58.16;
0.000375869;291.7;54.2;
0.000376586;291.7;50.41;
0.000377293;291.7;46.85;
0.000377984;291.7;43.57;
0.000378667;291.7;40.56;
0.000379345;291.6;37.82;
0.000380003;291.6;35.45;
0.000380651;291.5;33.39;
0.00038129;291.4;31.67;
0.000381918;291.2;30.29;
0.000382533;291.1;29.26;
0.000383147;290.9;28.55;
0.000383759;290.8;28.18;
0.000384358;290.6;28.16;
0.000384943;290.4;28.45;
0.000385518;290.1;29.06;
0.000386089;289.9;29.96;
0.000386583;289.7;31.02;
0.000387057;289.5;32.22;
0.000387504;289.2;33.54;
0.000387938;289;34.99;
0.000388368;288.8;36.59;
0.000388797;288.6;38.34;
0.000389226;288.4;40.24;
0.000389653;288.2;42.28;
0.00039008;288;44.45;
0.000390497;287.7;46.69;
0.000390913;287.5;49.05;
0.000391334;287.3;51.55;
0.000391743;287.1;54.08;
0.000392149;287;56.67;
0.000392556;286.8;59.36;
0.000392964;286.6;62.14;
0.000393368;286.4;64.95;
0.000393765;286.3;67.77;
0.000394168;286.1;70.69;
0.000394564;286;73.6;
0.000394966;285.9;76.58;
0.000395366;285.8;79.58;
0.000395765;285.7;82.59;
0.000396164;285.6;85.61;
0.000396559;285.5;88.6;
0.00039695;285.5;91.56;
0.000397338;285.4;94.48;
0.000397723;285.4;97.37;
0.000398106;285.4;100.2;
0.000398487;285.4;103;
0.000398867;285.5;105.8;
0.000399469;285.5;110;
0.000400262;285.7;115.5;
0.000401045;285.9;120.6;
0.000401807;286.2;125.4;
0.00040255;286.5;129.7;
0.000403258;286.9;133.6;
0.000403951;287.3;137.1;
0.000404631;287.7;140.3;
0.0004053;288.1;143.2;
0.000406015;288.6;146;
0.000406725;289.2;148.6;
0.000407426;289.7;150.9;
0.00040812;290.2;152.9;
0.000408794;290.7;154.7;
0.000409454;291.2;156.2;
0.000410112;291.7;157.7;
0.000410768;292.2;158.9;
0.000411411;292.6;160.1;
0.000412072;293.1;161.3;
0.000412733;293.5;162.3;
0.000413386;293.8;163.4;
0.000414035;294.2;164.4;
0.000414679;294.4;165.5;
0.000415314;294.7;166.5;
0.000415932;294.8;167.7;
0.000416539;295;168.8;
0.000417134;295;170;
0.000417742;295.1;171.4;
0.000418363;295.1;172.8;
0.000418991;295;174.4;
0.000419597;294.9;176.1;
0.000420206;294.7;177.9;
0.00042081;294.5;179.8;
0.0004214;294.2;181.8;
0.000421985;293.9;183.8;
0.000422563;293.6;186;
0.000423132;293.2;188.2;
0.000423698;292.8;190.4;
0.000424261;292.4;192.8;
0.000424817;291.9;195.1;
0.000425364;291.5;197.5;
0.000425903;291;199.8;
0.000426438;290.5;202.2;
0.000426621;290.3;203.1;
0.000426945;289.9;204.5;
0.000427255;289.6;205.9;
0.000427558;289.3;207.2;
0.000427859;289;208.6;
0.000428158;288.7;209.9;
0.000428452;288.4;211.2;
0.000428741;288.1;212.4;
0.00042903;287.8;213.7;
0.000429316;287.5;214.9;
0.000429599;287.2;216.1;
0.00042988;286.9;217.2;
0.000430154;286.6;218.3;
0.000430427;286.3;219.4;
0.000430699;286;220.5;
0.000430974;285.7;221.5;
0.000431246;285.4;222.5;
0.000431514;285.1;223.5;
0.000431781;284.8;224.4;
0.000432044;284.5;225.3;
0.000432306;284.2;226.1;
0.000432567;283.9;227;
0.000432828;283.6;227.8;
0.000433087;283.3;228.5;
0.000433346;283;229.2;
0.000433603;282.8;229.9;
0.000433856;282.5;230.5;
0.000434103;282.2;231.1;
0.000434346;281.9;231.6;
0.000434582;281.7;232.1;
0.000434812;281.4;232.6;
0.000435038;281.2;233;
0.000435264;280.9;233.4;
0.000435492;280.7;233.7;
0.00043572;280.4;234;
0.000435947;280.1;234.3;
0.000436172;279.9;234.5;
0.000436396;279.6;234.8;
0.000436618;279.4;234.9;
0.000436839;279.1;235.1;
0.000437059;278.9;235.2;
0.000437279;278.6;235.3;
0.000437499;278.4;235.3;
0.000437717;278.1;235.3;
0.000437936;277.8;235.3;
0.000438155;277.6;235.2;
0.000438727;276.9;234.9;
0.00043946;275.9;234.2;
0.000440158;275;233.2;
0.000440836;274.1;231.9;
0.000441493;273.1;230.3;
0.000442125;272.2;228.5;
0.000442752;271.1;226.5;
0.000443371;270.1;224.3;
0.000443966;269;222;
0.000444726;267.6;218.8;
0.000445492;266;215.4;
0.000446245;264.3;211.7;
0.00044698;262.6;208;
0.000447689;260.9;204.3;
